ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude,avg_rent
80027,LOUISVILLE,Louisville,CO,BOULDER,Boulder,39.957005,-105.15776399999999,1865.0
80031,WESTMINSTER,Westminster,CO,ADAMS,Adams,39.878009999999996,-105.043985,1570.0
80033,WHEAT RIDGE,Wheat Ridge,CO,JEFFERSON,Jefferson,39.77479500000001,-105.10923100000001,1467.0
80108,CASTLE ROCK,Castle Rock,CO,DOUGLAS,Douglas,39.442203000000006,-104.84443,1800.0
80110,ENGLEWOOD,Englewood,CO,ARAPAHOE,Arapahoe,39.649278,-105.011248,1652.0
80111,ENGLEWOOD,Englewood,CO,ARAPAHOE,Arapahoe,39.62401,-104.871963,1793.0
80123,LITTLETON,Littleton,CO,JEFFERSON,Jefferson,39.613606,-105.063244,1602.0
80124,LONE TREE,Lone Tree,CO,DOUGLAS,Douglas,39.516974,-104.93578400000001,1794.0
80134,PARKER,Parker,CO,DOUGLAS,Douglas,39.489446,-104.768772,1678.0
80202,DENVER,Denver,CO,DENVER,Denver,39.752627000000004,-104.99808600000001,3428.0
80203,DENVER,Denver,CO,DENVER,Denver,39.732026,-104.982468,1922.0
80204,DENVER,Denver,CO,DENVER,Denver,39.737736,-105.02031699999999,2381.0
80205,DENVER,Denver,CO,DENVER,Denver,39.758340999999994,-104.96767,2196.0
80206,DENVER,Denver,CO,DENVER,Denver,39.730725,-104.95321000000001,2478.0
80104,CASTLE ROCK,Castle Rock,CO,DOUGLAS,Douglas,39.303926000000004,-104.821485,1458.0
80112,ENGLEWOOD,Englewood,CO,ARAPAHOE,Arapahoe,39.565706,-104.857828,1917.0
80120,LITTLETON,Littleton,CO,ARAPAHOE,Arapahoe,39.597938,-105.014696,1410.0
80127,LITTLETON,Littleton,CO,JEFFERSON,Jefferson,39.533291999999996,-105.15699,1695.0
80128,LITTLETON,Littleton,CO,JEFFERSON,Jefferson,39.570494000000004,-105.082518,1632.0
80129,LITTLETON,Littleton,CO,DOUGLAS,Douglas,39.542305999999996,-105.010866,1784.0
80209,DENVER,Denver,CO,DENVER,Denver,39.705644,-104.964853,2279.0
80210,DENVER,Denver,CO,DENVER,Denver,39.675449,-104.96404799999999,2120.0
80211,DENVER,Denver,CO,DENVER,Denver,39.764131,-105.017788,2504.0
80212,DENVER,Denver,CO,DENVER,Denver,39.770568,-105.048645,2199.0
80214,DENVER,Denver,CO,JEFFERSON,Jefferson,39.74299,-105.072022,1300.0
80215,DENVER,Denver,CO,JEFFERSON,Jefferson,39.742292,-105.11875500000001,1506.0
80216,DENVER,Denver,CO,DENVER,Denver,39.784905,-104.94193200000001,2266.0
80218,DENVER,Denver,CO,DENVER,Denver,39.732366999999996,-104.97130800000001,1845.0
80227,DENVER,Denver,CO,JEFFERSON,Jefferson,39.66027800000001,-105.118578,1566.0
80228,DENVER,Denver,CO,JEFFERSON,Jefferson,39.69142,-105.156062,1522.0
80229,DENVER,Denver,CO,ADAMS,Adams,39.848632,-104.95063400000001,1595.0
80231,DENVER,Denver,CO,DENVER,Denver,39.675748,-104.886004,1513.0
80233,DENVER,Denver,CO,ADAMS,Adams,39.899507,-104.94679599999999,1593.0
80234,DENVER,Denver,CO,ADAMS,Adams,39.914066999999996,-105.010998,1617.0
80237,DENVER,Denver,CO,DENVER,Denver,39.638475,-104.905946,1800.0
80249,DENVER,Denver,CO,DENVER,Denver,39.837435,-104.712632,1559.0
80301,BOULDER,Boulder,CO,BOULDER,Boulder,40.048024,-105.20679799999999,1850.0
80219,DENVER,Denver,CO,DENVER,Denver,39.696253999999996,-105.034428,1512.0
80220,DENVER,Denver,CO,DENVER,Denver,39.731077,-104.912719,1602.0
80221,DENVER,Denver,CO,ADAMS,Adams,39.815533,-105.013278,1504.0
80223,DENVER,Denver,CO,DENVER,Denver,39.692916,-105.003914,2010.0
80224,DENVER,Denver,CO,DENVER,Denver,39.685286,-104.91238700000001,1540.0
80226,DENVER,Denver,CO,JEFFERSON,Jefferson,39.71069,-105.090842,1700.0
80238,DENVER,Denver,CO,DENVER,Denver,39.769003999999995,-104.88001200000001,2196.0
80239,DENVER,Denver,CO,DENVER,Denver,39.789772,-104.828404,1665.0
80241,THORNTON,Thornton,CO,ADAMS,Adams,39.928444,-104.95583899999998,1555.0
80246,DENVER,Denver,CO,DENVER,Denver,39.704601000000004,-104.93123600000001,1451.0
80247,DENVER,Denver,CO,ARAPAHOE,Arapahoe,39.693021,-104.884772,1611.0
80302,BOULDER,Boulder,CO,BOULDER,Boulder,40.048078000000004,-105.38018000000001,1983.0
80303,BOULDER,Boulder,CO,BOULDER,Boulder,39.953231,-105.22666000000001,1822.0
80304,BOULDER,Boulder,CO,BOULDER,Boulder,40.045179,-105.29195800000001,1819.0
80401,GOLDEN,Golden,CO,JEFFERSON,Jefferson,39.714017,-105.244101,1898.0
80501,LONGMONT,Longmont,CO,BOULDER,Boulder,40.168907,-105.09317,1269.0
