ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude,avg_rent_one
11109,LONG ISLAND CITY,Long Island City,NY,QUEENS,Queens,40.744496000000005,-73.95774399999999,2961.0
11201,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.694599,-73.990638,3215.0
11220,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.640737,-74.018376,1698.0
11221,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.692502000000005,-73.927079,2183.0
11222,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.728320000000004,-73.944758,2360.0
11223,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.59623,-73.97406600000001,1608.0
11225,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.663354,-73.951438,1932.0
11226,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.645412,-73.95873,1750.0
11228,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.616926,-74.01280200000001,1571.0
11229,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.601296000000005,-73.94021500000001,1658.0
11230,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.62275,-73.96625300000001,1604.0
11231,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.676516,-74.00401600000001,2533.0
11232,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.657236,-74.002868,2000.0
11233,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.676503000000004,-73.92041800000001,1942.0
11234,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.609761999999996,-73.910664,1467.0
11235,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.584576,-73.940203,1767.0
11237,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.702704,-73.918472,2067.0
11238,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.676159999999996,-73.964404,2450.0
11249,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.6933,-73.9925,3175.0
11361,BAYSIDE,Bayside,NY,QUEENS,Queens,40.763855,-73.77052900000001,1795.0
11364,OAKLAND GARDENS,Oakland Gardens,NY,QUEENS,Queens,40.747014,-73.757308,1675.0
11203,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.649188,-73.933724,1550.0
11204,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.621295,-73.98691600000001,1558.0
11205,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.694371000000004,-73.965874,2537.0
11206,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.702353,-73.942541,2233.0
11207,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.671296000000005,-73.895212,1633.0
11209,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.620876,-74.029111,1667.0
11210,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.625556,-73.94589599999999,1579.0
11211,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.711665999999994,-73.946422,2683.0
11212,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.664369,-73.915334,1583.0
11213,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.671561,-73.937799,1865.0
11214,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.597689,-74.000986,1600.0
11215,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.66509,-73.980306,2400.0
11216,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.680972,-73.947638,2100.0
